stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,condition,voice_type,distorted_audio,sound_file,question_order,hire,hire_rt,intelligence,intelligence_rt,debrief_age,debrief_gender,debrief_audio_output,debrief_audio_problems,debrief_testing,debrief_other,debrief_attention,debrief_audio_quality,debrief_understandable,debrief_hire_exp,data_summary,id
NA,NA,html-keyboard-response,12,164605,0.0-12.0,3,computer,TRUE,sound_files/matthew_sales_short_distort4.mp3,intel-first,35,3657,61,8268,46,male,Headphones,"No, everything went smoothly",People's perceptions based on voice,Everything went smoothly,100,30,85,Yes,TRUE,1
NA,NA,html-keyboard-response,12,131815,0.0-12.0,7,human,TRUE,sound_files/human_sm_distort4.mp3,intel-first,60,2399.2,71,3327.8,38,male,Headphones,no,No idea,Not that I can think of,97,22,68,Yes,TRUE,2
NA,NA,html-keyboard-response,12,163865,0.0-12.0,1,computer,FALSE,sound_files/matthew_sales_short.mp3,intel-first,84,3247,76,4487,40,male,Headphones,no,hiring decisions,no,100,100,100,Yes,TRUE,3
NA,NA,html-keyboard-response,12,169801,0.0-12.0,4,human,FALSE,sound_files/human_sm_undistorted.mp3,hire-first,78,5174.3,80,5383.2,51,male,Headphones,no,my evaluation of a potential hire,no,100,100,100,Yes,TRUE,4
NA,NA,html-keyboard-response,12,120214,0.0-12.0,7,human,TRUE,sound_files/human_sm_distort4.mp3,intel-first,63,3464.2,66,4424.4,50,male,Laptop Speakers,no,"to be honest, i think implicit bias",n/a,97,28,70,Yes,TRUE,5
NA,NA,html-keyboard-response,12,168508,0.0-12.0,0,computer,FALSE,sound_files/matthew_sales_short.mp3,hire-first,60,4425,55,3280,42,female,Earbuds,NA,how artifical voices influence perception of competence,NA,94,62,72,No,TRUE,6
NA,NA,html-keyboard-response,12,284554,0.0-12.0,7,human,TRUE,sound_files/human_sm_distort4.mp3,intel-first,79,5264.7,99,12330.8,44,male,Headphones,None,How you value hiring decisions on an individual for sales and your thoughts on them.,Nothing comes to mind at this time,95,90,100,No,TRUE,7
NA,NA,html-keyboard-response,12,198743,0.0-12.0,6,human,TRUE,sound_files/human_sm_distort4.mp3,hire-first,74,7370.5,84,5502.5,49,male,Laptop Speakers,n/a,I think this experiement was test how a person's vocabulry affect the perception of the person's intelligence and compentence.,n/a,100,40,100,Yes,TRUE,8
NA,NA,html-keyboard-response,12,146412,0.0-12.0,1,computer,FALSE,sound_files/matthew_sales_short.mp3,intel-first,39,3515.9,68,4614.9,43,female,Headphones,No,Something to do with AI?,Nope. Thanks!,100,82,96,Yes,TRUE,9
NA,NA,html-keyboard-response,12,203686,0.0-12.0,7,human,TRUE,sound_files/human_sm_distort4.mp3,intel-first,92,6756.8,85,6662.1,55,male,Laptop Speakers,no,how you perceive hiring someone based on a few statementss,no,91,90,89,Yes,TRUE,10
NA,NA,html-keyboard-response,12,188521,0.0-12.0,0,computer,FALSE,sound_files/matthew_sales_short.mp3,hire-first,77,5527.9,84,3529.1,47,male,Laptop Speakers,no,How the person's job pitch interviewed showed how intelligent they are.,no,100,80,100,No,TRUE,11
NA,NA,html-keyboard-response,12,230958,0.0-12.0,7,human,TRUE,sound_files/human_sm_distort4.mp3,intel-first,69,5989.6,87,8479.8,57,female,Headphones,No,How people perceive someones intelligence just by how they speak?,Nothing.  Thank you,100,36,100,No,TRUE,12
NA,NA,html-keyboard-response,12,309322,0.0-12.0,2,computer,TRUE,sound_files/matthew_sales_short_distort4.mp3,hire-first,14,17664.8,51,10518.7,53,female,External Speakers,The audio was a little muffled and it was a bit hard to understand at the beginning.,I think this experiment was testing whether or not I would hire an AI person or a real person.,The sound was very robotic.,100,30,51,Yes,TRUE,13
NA,NA,html-keyboard-response,12,283385,0.0-12.0,7,human,TRUE,sound_files/human_sm_distort4.mp3,intel-first,84,2348.8,90,5563.7,49,male,Headphones,I had no issues.,Judgement of an individual with varying sound qualities.,Nothing additional.,100,35,100,Yes,TRUE,14
NA,NA,html-keyboard-response,12,351867,0.0-12.0,2,computer,TRUE,sound_files/matthew_sales_short_distort4.mp3,hire-first,62,8559.6,52,8553.7,49,male,Headphones,No problems or difficulties,Comprehension and the ability of AI to market themselves.  Possibly how humanlike AI sounds as opposed to Humans,Nothing else in my opinion.,97,16,86,Yes,TRUE,15
NA,NA,html-keyboard-response,12,249210,0.0-12.0,4,human,FALSE,sound_files/human_sm_undistorted.mp3,hire-first,51,7447,94,18008.2,54,female,Laptop Speakers,no technical difficulties,I honestly have no idea.  I truly don't know.,nothing unusual to note,100,100,100,No,TRUE,16
NA,NA,html-keyboard-response,12,215376,0.0-12.0,0,computer,FALSE,sound_files/matthew_sales_short.mp3,hire-first,28,6400.4,60,4712.3,49,female,Laptop Speakers,N0,Would you hire based on there voice in a personal statement,No,100,79,100,Yes,TRUE,17
NA,NA,html-keyboard-response,12,181392,0.0-12.0,0,computer,FALSE,sound_files/matthew_sales_short.mp3,hire-first,0,6827.6,47,7187.3,64,female,Laptop Speakers,none,perception of voice,sounded like an AI voice - mechanical,100,60,88,Yes,TRUE,18
NA,NA,html-keyboard-response,12,203638,0.0-12.0,0,computer,FALSE,sound_files/matthew_sales_short.mp3,hire-first,72,10656.9,87,3608.1,50,female,Laptop Speakers,No,Opinions on hiring someone based on their tone.,None,100,100,100,No,TRUE,19
NA,NA,html-keyboard-response,12,246573,0.0-12.0,6,human,TRUE,sound_files/human_sm_distort4.mp3,hire-first,39,8108.8,69,8697.5,67,male,Laptop Speakers,No,Whether the tone of voice influenced my hiring decision.,No,100,56,100,No,TRUE,20
NA,NA,html-keyboard-response,12,511435,0.0-12.0,3,computer,TRUE,sound_files/matthew_sales_short_distort4.mp3,intel-first,38,8230.5,35,33689.3,64,female,Laptop Speakers,No,How the content and style of speaking lead or sway you to a certain conclusion .,No,80,35,97,No,TRUE,21
NA,NA,html-keyboard-response,12,235850,0.0-12.0,5,human,FALSE,sound_files/human_sm_undistorted.mp3,intel-first,53,6049,76,11033.4,52,female,Laptop Speakers,"no, i did not",How does voice affect impression of a person,I wasn't sure if I was supposed to consider that the voice didn't sound very human,100,49,98,Yes,TRUE,22
NA,NA,html-keyboard-response,12,206539,0.0-12.0,1,computer,FALSE,sound_files/matthew_sales_short.mp3,intel-first,83,3001.4,87,9111.5,37,male,Headphones,No difficulties at all.,I don't really know. I guess if I would hire the person that has that kind of experience.,No,100,89,100,No,TRUE,23
NA,NA,html-keyboard-response,12,155944,0.0-12.0,4,human,FALSE,sound_files/human_sm_undistorted.mp3,hire-first,89,3846.3,81,4398.8,58,female,Laptop Speakers,no,How people judge the suitability of a job candidate.,no,100,92,100,Yes,TRUE,24
NA,NA,html-keyboard-response,12,176853,0.0-12.0,5,human,FALSE,sound_files/human_sm_undistorted.mp3,intel-first,100,2337.4,100,2711.5,54,male,Headphones,I did not have any technical difficulties.,I think that the experiment was testing if someone would hire someone based on their speaking skills and qualifications.,Nothing else to add.  Everything ran smooth and the person talking was very clear.,100,100,100,Yes,TRUE,25
NA,NA,html-keyboard-response,12,240767,0.0-12.0,3,computer,TRUE,sound_files/matthew_sales_short_distort4.mp3,intel-first,100,5314,100,9532,73,female,Laptop Speakers,none,I am never sure and couldn't even guess,no,100,100,100,Yes,TRUE,26
NA,NA,html-keyboard-response,12,211588,0.0-12.0,7,human,TRUE,sound_files/human_sm_distort4.mp3,intel-first,69,6098.8,77,7508,43,male,Headphones,I did not.,How we form opinions of others with little information.,There was nothing else that had an impact.,100,55,100,No,TRUE,27
NA,NA,html-keyboard-response,12,277724,0.0-12.0,5,human,FALSE,sound_files/human_sm_undistorted.mp3,intel-first,69,11049.8,78,15757.7,59,female,Headphones,No,This experiment was testing voice perception.,No,93,98,100,No,TRUE,28
NA,NA,html-keyboard-response,12,199839,0.0-12.0,6,human,TRUE,sound_files/human_sm_distort4.mp3,hire-first,63,7195.1,64,4590,64,male,Laptop Speakers,no,impressions of a voices tone.,no,100,20,95,No,TRUE,29
NA,NA,html-keyboard-response,12,160842,0.0-12.0,1,computer,FALSE,sound_files/matthew_sales_short.mp3,intel-first,24,2965.4,36,6414.7,30,female,Laptop Speakers,None,Whether we trust/hire AI/monotone speakers? Maybe different participants got a different sounding guy/person.,None,100,100,100,No,TRUE,30
NA,NA,html-keyboard-response,12,198746,0.0-12.0,3,computer,TRUE,sound_files/matthew_sales_short_distort4.mp3,intel-first,49,38224.1,49,18382.9,40,female,Headphones,no,I don't know,no,100,10,40,Yes,TRUE,31
NA,NA,html-keyboard-response,12,216349,0.0-12.0,3,computer,TRUE,sound_files/matthew_sales_short_distort4.mp3,intel-first,92,6176.5,98,7485.9,34,male,Laptop Speakers,No,It was testing how we rate the qualifications of someone applying for a job.,No,100,25,82,Yes,TRUE,32
NA,NA,html-keyboard-response,12,166595,0.0-12.0,2,computer,TRUE,sound_files/matthew_sales_short_distort4.mp3,hire-first,80,10565.6,86,2875.4,46,male,Headphones,none,My ability to judge a person's character from their voice.,"Nothing comes to mind, thank you",93,38,90,Yes,TRUE,33
NA,NA,html-keyboard-response,12,117951,0.0-12.0,6,human,TRUE,sound_files/human_sm_distort4.mp3,hire-first,27,2858.2,49,2030.4,43,male,External Speakers,No issues.,How we judge others speech based on their words.,No.,100,15,100,Yes,TRUE,34
NA,NA,html-keyboard-response,12,179852,0.0-12.0,0,computer,FALSE,sound_files/matthew_sales_short.mp3,hire-first,26,8782.6,74,4485,73,female,Laptop Speakers,none,To see if we recognized ai voice,the ai voice,100,58,85,No,TRUE,35
NA,NA,html-keyboard-response,12,223555,0.0-12.0,7,human,TRUE,sound_files/human_sm_distort4.mp3,intel-first,64,27190.4,89,5697.7,32,female,Laptop Speakers,no,how someones voice effects their ability to be hired,n/a,93,23,91,No,TRUE,36
NA,NA,html-keyboard-response,12,302721,0.0-12.0,4,human,FALSE,sound_files/human_sm_undistorted.mp3,hire-first,86,9311,90,5710,74,female,Laptop Speakers,None,How well me listen doing the survey,Nothinng else,100,86,86,Yes,TRUE,37
NA,NA,html-keyboard-response,12,187402,0.0-12.0,6,human,TRUE,sound_files/human_sm_distort4.mp3,hire-first,77,16788,80,6030.5,46,female,Earbuds,No,Listening comprehension,No - thanks!,77,80,78,Yes,TRUE,38
NA,NA,html-keyboard-response,12,201075,0.0-12.0,6,human,TRUE,sound_files/human_sm_distort4.mp3,hire-first,66,12050,50,9597.9,50,male,Headphones,No difficulties.,My patience.  I hate it when researchers ask this question.,No.,100,40,99,Yes,TRUE,39
NA,NA,html-keyboard-response,12,164978,0.0-12.0,7,human,TRUE,sound_files/human_sm_distort4.mp3,intel-first,90,4351.4,93,4732.4,41,female,Headphones,I didn't experience any technical difficulties.,I think it was about testing audio.,There isn't anything else you should know.,100,27,100,Yes,TRUE,40
NA,NA,html-keyboard-response,12,251683,0.0-12.0,3,computer,TRUE,sound_files/matthew_sales_short_distort4.mp3,intel-first,51,16973.5,74,7957.5,61,male,External Speakers,None,I am not really sure - Perhaps gauging if the audio quality of the clip you played affect likelihood of the applicant being hired.  The audio quality was very low.,None - Good luck with your study,100,1,100,Yes,TRUE,41
NA,NA,html-keyboard-response,12,160017,0.0-12.0,7,human,TRUE,sound_files/human_sm_distort4.mp3,intel-first,78,2027.3,78,4612.2,34,male,Laptop Speakers,I did not.,My thoughts on how impressive a job candidate sounded and perhaps if the poor audio quality impacted my decision.,"Nothing else, but thanks for inviting me",100,10,87,No,TRUE,42
NA,NA,html-keyboard-response,12,232510,0.0-12.0,1,computer,FALSE,sound_files/matthew_sales_short.mp3,intel-first,85,4814.7,90,8207,57,male,Headphones,none,our ability to analyze a job candidate,not at this time,100,89,97,Yes,TRUE,43
NA,NA,html-keyboard-response,12,200805,0.0-12.0,7,human,TRUE,sound_files/human_sm_distort4.mp3,intel-first,39,19888,100,8044,54,female,Laptop Speakers,No,Whether or not study participants thought someone was intelligent from the tone of their voice and the words they used.,No,100,15,100,No,TRUE,44
NA,NA,html-keyboard-response,12,287546,0.0-12.0,4,human,FALSE,sound_files/human_sm_undistorted.mp3,hire-first,85,7351.9,86,8311.8,38,female,Headphones,I didnt experience any difficulties.,I think the study is to see how people perceive and judge others by first impressions.,I understood everything perfectly with no issues.,100,96,100,No,TRUE,45
NA,NA,html-keyboard-response,12,431455,0.0-12.0,4,human,FALSE,sound_files/human_sm_undistorted.mp3,hire-first,67,12649.1,73,9208.8,45,female,Headphones,no,"I'm not sure what is being tested, maybe whether people have different perceptions of a person when they hear them speak vs. see a text or resume or something.",no,92,60,98,No,TRUE,46
NA,NA,html-keyboard-response,12,181330,0.0-12.0,7,human,TRUE,sound_files/human_sm_distort4.mp3,intel-first,96,3198.7,89,4845.2,24,female,Headphones,"No, everything worked great.",To see how we perceive others and how we make hiring decisions based on how they talk or how they present themselves.,"No, I followed the instructions.",100,15,75,No,TRUE,47
NA,NA,html-keyboard-response,12,231625,0.0-12.0,0,computer,FALSE,sound_files/matthew_sales_short.mp3,hire-first,67,18452.4,73,5778,47,female,Laptop Speakers,No,How a computer generated voice affects our perception of the content of a message.,No,87,80,98,Yes,TRUE,48
NA,NA,html-keyboard-response,12,220087,0.0-12.0,6,human,TRUE,sound_files/human_sm_distort4.mp3,hire-first,80,12912.6,67,4624.3,56,female,Laptop Speakers,no,IDK. No idea.,no,100,25,100,No,TRUE,49
NA,NA,html-keyboard-response,12,179015,0.0-12.0,3,computer,TRUE,sound_files/matthew_sales_short_distort4.mp3,intel-first,32,2446.3,39,3807,43,male,Headphones,no,trust in digitatl voices,no,100,27,98,Yes,TRUE,50
NA,NA,html-keyboard-response,12,198012,0.0-12.0,4,human,FALSE,sound_files/human_sm_undistorted.mp3,hire-first,63,9951.1,81,6471.5,52,female,Headphones,I had no issues.,"How people react to different voices, accents and what people say.",I have nothing more to add.,100,100,100,Yes,TRUE,51
NA,NA,html-keyboard-response,12,154144,0.0-12.0,1,computer,FALSE,sound_files/matthew_sales_short.mp3,intel-first,83,3490.7,82,11687.9,36,female,Laptop Speakers,no,how well we understand someone speaking over the internet,no,100,90,90,Yes,TRUE,52
NA,NA,html-keyboard-response,12,136470,0.0-12.0,6,human,TRUE,sound_files/human_sm_distort4.mp3,hire-first,83,4522,79,2847.3,42,male,Headphones,no,how fit for the job we viewed the candidate based on how they talked,no,100,46,79,Yes,TRUE,53
NA,NA,html-keyboard-response,12,306190,0.0-12.0,2,computer,TRUE,sound_files/matthew_sales_short_distort4.mp3,hire-first,67,19900.8,82,23571.5,42,female,Laptop Speakers,No problems,Perceptions of hiring an individual based on their answers and tone.,No,100,70,100,Yes,TRUE,54
NA,NA,html-keyboard-response,12,259921,0.0-12.0,2,computer,TRUE,sound_files/matthew_sales_short_distort4.mp3,hire-first,2,4636.7,49,10065.3,53,male,Headphones,"all good, thanks",I think the experiment was testing the perception of a candidate based on the choice of audio recording style,"the recording sounded artificial, so I wondered if AI was used by the candidate rather than a personal recording",99,20,90,Yes,TRUE,55
NA,NA,html-keyboard-response,12,235569,0.0-12.0,5,human,FALSE,sound_files/human_sm_undistorted.mp3,intel-first,88,2895.8,91,3850.7,27,female,Laptop Speakers,No,I believe this study was testing peoples perception of an applicant,No,100,95,100,No,TRUE,56
NA,NA,html-keyboard-response,12,308689,0.0-12.0,6,human,TRUE,sound_files/human_sm_distort4.mp3,hire-first,88,14825.2,80,8440.3,54,female,Laptop Speakers,no,I am guessing different participants heard the same messsage but with different voices and you are comparing perceptions,no,96,65,100,No,TRUE,57
NA,NA,html-keyboard-response,12,258481,0.0-12.0,5,human,FALSE,sound_files/human_sm_undistorted.mp3,intel-first,81,6366.5,85,9243.4,21,male,Headphones,N/A,How participants perceive applicants based on personal statements only.,Not that I know of.,95,90,100,No,TRUE,58
NA,NA,html-keyboard-response,12,261612,0.0-12.0,6,human,TRUE,sound_files/human_sm_distort4.mp3,hire-first,82,12819,93,4104,36,male,Headphones,None,To see what our impression is of someone applying for a position.,Nothing,100,17,100,No,TRUE,59
NA,NA,html-keyboard-response,12,165740,0.0-12.0,5,human,FALSE,sound_files/human_sm_undistorted.mp3,intel-first,71,3394.9,81,7532,28,male,Laptop Speakers,No,How a slight accent can affect opinions about the intelligence of an individual,No,83,98,96,No,TRUE,60
NA,NA,html-keyboard-response,12,221507,0.0-12.0,2,computer,TRUE,sound_files/matthew_sales_short_distort4.mp3,hire-first,56,8405.6,63,5302.6,69,male,Headphones,no,not really sure.,no,100,38,86,Yes,TRUE,61
NA,NA,html-keyboard-response,12,174857,0.0-12.0,4,human,FALSE,sound_files/human_sm_undistorted.mp3,hire-first,71,2845.6,90,3965,48,male,Laptop Speakers,no,how people view a job candidate.,NA,56,91,100,No,TRUE,62
NA,NA,html-keyboard-response,12,127710,0.0-12.0,6,human,TRUE,sound_files/human_sm_distort4.mp3,hire-first,29,4241.8,35,2483,65,male,Headphones,no,I have no idea,no,93,23,68,Yes,TRUE,63
NA,NA,html-keyboard-response,12,158620,0.0-12.0,0,computer,FALSE,sound_files/matthew_sales_short.mp3,hire-first,55,6164.9,66,4726,54,female,Laptop Speakers,no,The sound on my laptop.,no,97,93,91,No,TRUE,64
NA,NA,html-keyboard-response,12,703846,0.0-12.0,2,computer,TRUE,sound_files/matthew_sales_short_distort4.mp3,hire-first,79,19947.8,85,11662.6,28,male,Laptop Speakers,I did not experience any technical difficulties in playing the audio. I was not distracted by anything while I was listening to the audio.,I think that this experiment was testing perception. I think that this experiment wants to research how people who do this experiment perceive the author of the personal statement that is presented as an audio clip in this experiment based on the information that is included in this experiment about the author in the audio clip in this experiment.,There is nothing else that you should know in regards to myself or how I did this experiment in relation to my results in this experiment.,100,75,100,No,TRUE,65
NA,NA,html-keyboard-response,12,240989,0.0-12.0,7,human,TRUE,sound_files/human_sm_distort4.mp3,intel-first,23,5646,46,19219.2,55,male,Earbuds,n/a,Our perception of people based on what they say and how they sound.,n/a,100,85,100,Yes,TRUE,66
NA,NA,html-keyboard-response,12,255992,0.0-12.0,6,human,TRUE,sound_files/human_sm_distort4.mp3,hire-first,56,13239,79,8318.9,52,male,Headphones,No.,I think it is testing our impressions of a candidate's quality based on the quality of the audio file.  The person spoke well but the file did sound like it was done while in a tin can.,No.,100,13,100,Yes,TRUE,67
NA,NA,html-keyboard-response,12,215998,0.0-12.0,7,human,TRUE,sound_files/human_sm_distort4.mp3,intel-first,88,3307.9,86,3724.3,33,male,Laptop Speakers,None,To see how listening to a prospective candidate for a job talking about themselves affects how we think of their potential skill and likelihood of being hired.,No,100,41,99,No,TRUE,68
NA,NA,html-keyboard-response,12,227608,0.0-12.0,5,human,FALSE,sound_files/human_sm_undistorted.mp3,intel-first,71,5378.7,94,7888.8,53,female,Laptop Speakers,No,I think the experiment is testing likelihood of hiring based on voice tone/type or gender.,No,98,100,100,Yes,TRUE,69
NA,NA,html-keyboard-response,12,166642,0.0-12.0,7,human,TRUE,sound_files/human_sm_distort4.mp3,intel-first,73,2848.7,78,4090.6,37,male,Headphones,No,I think you are trying to understand how people form impressions of others.,No,100,68,100,Yes,TRUE,70
NA,NA,html-keyboard-response,12,349845,0.0-12.0,0,computer,FALSE,sound_files/matthew_sales_short.mp3,hire-first,100,10086.6,88,5408.8,38,male,Laptop Speakers,"Yes, in the background  a crow was cawing and it sounds like the wind is blowing",I think it was testing how people promote themselves when applying for a new job.,no,60,64,98,No,TRUE,71
NA,NA,html-keyboard-response,12,157602,0.0-12.0,3,computer,TRUE,sound_files/matthew_sales_short_distort4.mp3,intel-first,79,3282.8,82,5270.3,44,female,Headphones,no,How persuasive the applicant was,no,100,30,100,Yes,TRUE,72
NA,NA,html-keyboard-response,12,396080,0.0-12.0,1,computer,FALSE,sound_files/matthew_sales_short.mp3,intel-first,4,9125.7,46,22646.2,64,female,Laptop Speakers,No issues,"I'm unsure. Since the voice was AI, or something like that, the purpose might be to see what people think about automated resumes.",Nothing else comes to mind. Thank you,99,58,100,No,TRUE,73
NA,NA,html-keyboard-response,12,206986,0.0-12.0,1,computer,FALSE,sound_files/matthew_sales_short.mp3,intel-first,35,4662.5,75,11043.9,65,female,Headphones,no,I don't know,no,100,97,100,Yes,TRUE,74
NA,NA,html-keyboard-response,12,225131,0.0-12.0,4,human,FALSE,sound_files/human_sm_undistorted.mp3,hire-first,32,7745.8,71,4301.3,42,female,Laptop Speakers,NA,Tone of voice and sex for job canidates,Speaker wasn't monotone but lacked excitement for role,95,100,100,Yes,TRUE,75
NA,NA,html-keyboard-response,12,979630,0.0-12.0,1,computer,FALSE,sound_files/matthew_sales_short.mp3,intel-first,59,8187,82,20788,62,male,Earbuds,No problems.,"I'm not sure what the experiment is testing, because I'm not sure what the variables are.  Perhaps the study may vary the audio statement by gender, but I don't know.  Or perhaps the study may vary the audio statement with human voice recordings versus AI voice recordings.  (I heard an AI voice, but I assumed it represented a reading of a human applicant's statement.)  Or perhaps the study may vary the statement content in other ways and measure resulting effects on responses.  I'm not sure what research goals the study pursues.",I wondered if I missed anything in the instructions to tell me if I was wrong to disregard the use of AI to voice the applicant's statement.  I simply interpreted it as a human applicant's written statement that just happened to be voiced by AI for this study.  So I judged the applicant in the same way that I would have judged if the statement had been voiced by a human for this study.,100,88,100,No,TRUE,76
NA,NA,html-keyboard-response,12,160800,0.0-12.0,6,human,TRUE,sound_files/human_sm_distort4.mp3,hire-first,55,52695.3,63,3773.5,30,female,Laptop Speakers,no,Audio quality impact on rating of someone.,no,100,32,73,No,TRUE,77
NA,NA,html-keyboard-response,12,217679,0.0-12.0,5,human,FALSE,sound_files/human_sm_undistorted.mp3,intel-first,71,3554.5,82,7274,24,female,Laptop Speakers,No,Peoples ability to pay attention,None,100,100,100,No,TRUE,78
NA,NA,html-keyboard-response,12,158331,0.0-12.0,7,human,TRUE,sound_files/human_sm_distort4.mp3,intel-first,70,3726.2,74,8409.1,47,male,Laptop Speakers,It was a little tinny.,The quality of voice of the software.,N/A,98,37,85,Yes,TRUE,79
NA,NA,html-keyboard-response,12,341740,0.0-12.0,0,computer,FALSE,sound_files/matthew_sales_short.mp3,hire-first,84,10790.1,77,9138.9,38,female,Laptop Speakers,no,Whether the individual was qualified to be hired for a job position.,no,96,40,98,Yes,TRUE,80
NA,NA,html-keyboard-response,12,127933,0.0-12.0,2,computer,TRUE,sound_files/matthew_sales_short_distort4.mp3,hire-first,89,5037.4,75,3132.8,61,male,Headphones,no,If the Ai talking is convincing,no,100,9,63,Yes,TRUE,81
